username,komentar,sentimen,Waktu,,,
mandaya14,Siap pa kami kan slalu mentaati instruksi bapak,Positif,08/09/20 02:45:13,,,
sianak_hutan142,Otak lu juga di pake,Negatif,08/09/20 06:42:11,,,
indrayasa234,Sehat trus bapaku,Positif,08/09/20 06:46:59,,,
kajengmarlina,Siap bapa presidenku yang baik hatinya ramah sopan merakyat saya senang sekali punya bapa pemimpin yang baik hatinyalembut moga sehat selalu ya pa amin,Positif,08/09/20 09:18:30,,,
rellyristiani,Asiiiiaaap bapak,Positif,08/09/20 11:45:47,,,
sonnyminggu,"Semoga dlm lindungan yg MAHA KUASA,,,",Positif,08/09/20 15:38:20,,,
official_mitraresmitreninet,Di boikot 59 negara,Negatif,08/09/20 15:39:36,,,
no.vi9850,Halu,Negatif,08/09/20 17:42:29,,,
awansetiawan898,"Kasih pekerjaan kami pak presiden,,,mksh",Negatif,08/09/20 19:52:49,,,
ebbhy2,"Percuma, udah telat 6 bulan bego",Negatif,09/09/20 01:52:37,,,
wayanjurka,"Tetap semamgat dalam bekerja bpk presiden, Tuhan menyertai bpk.",Positif,09/09/20 04:02:48,,,
yusakedon08,Bapak TOLONG saya,Negatif,09/09/20 06:29:18,,,
humrah.humrah.106,hai syg selamat ulang tahun panjan umur sehat sll dlm lindungan allah swt amin ;;murniati,Positif,09/09/20 09:15:10,,,
felixian.id,Tanpa masker kita sudah takut bersuara kok pak!,Negatif,09/09/20 14:05:49,,,
zafifahr,Kami ga butuh kwota pak tp kami butuh SPP nya gratis pak karna kami langsung yg mengajari anak sy padahal sy udah cape banget mencari nafkah suami istri giliran dpat duit di tagih SPP sedangkan guru nya pun tidak mengajar murid nya tp kenapa minta SPP sedangkan kami tidak menerima bantuan dalam bentuk apapun baik sembako/kwota dan yg laenya semua bentuk bantuan bagiku itu hanyalah HALU pak,Negatif,09/09/20 14:54:50,,,
alit_halilintar,Siap,Positif,09/09/20 16:05:57,,,
devyan_taufan,Yg koment lucu2 hahaha,Positif,09/09/20 22:36:44,,,
budi.utju,"Siaaaapppp Pak Presiden  Terimakasih himbauannya , TUHAN MEMBERKATI Pak Presiden",Positif,10/09/20 01:36:42,,,
_tanahmerah_,Ashiappp,Positif,10/09/20 06:53:05,,,
dova_gamalael,Kami tanpa masker saat pandemi bagaikan Indonesia tanpamu,Positif,10/09/20 09:05:56,,,
arek_warak,Bantuan y buat pedagang pak,Positif,10/09/20 09:33:23,,,
aandreasbr6,Semoga selalu di beri kesehatan,Positif,10/09/20 11:33:03,,,
reg_gitawulr,"Sellu siyap memperjuwangkan BAPAK JOKOWIDODO sampai kapan pun,ayo BAPAK JOKOWIDODO jangan mundur terus maju,karna diya yg ingin merusak nengara kita.",Positif,10/09/20 11:46:48,,,
ernaani2020,Siap pak,Positif,10/09/20 12:58:42,,,
ratna.sitanggang.739,"betul dgn memakai madjer n jaga jarak semua bs terlindingi dr pademi carona,covid 19 ini tks pak",Positif,10/09/20 17:22:03,,,
susanto.yaman59,"Lindungi diri, lindungi negeri, didukung oleh rakyat sadar diri terhadap situasi kini dan tdk maunya sendiri.",Negatif,10/09/20 23:33:03,,,
stevanny_terry,"Saya gak lupa pakai masker pak, biar gak kena razia di depok aja sih sebenernya mah, buat saya mah lumayan pak dendanya.Btw saya dan teman2 seperusahaan belum dapet pak bantuan dari pemerintah yang 600rb perbulan itu. Saya se perusahaan masih menunggu pak",Negatif,11/09/20 02:40:35,,,
anggun.mursika90,Good looking nih modelnya,Positif,11/09/20 02:56:40,,,
rezaheadrock,"ayo pake otak,cocokan gini kynya joko",Negatif,11/09/20 05:13:45,,,
binarsih81,Sip....mantap. ....ingat sedulur.....apa kata BPK kita ya? Jgn lupa....Mas...ker....oke?semua itu demi kita juga,Positif,11/09/20 09:11:34,,,
knprynt,"Dear Pak @jokowi bisakah program dari pemerintah seperti @prakerja.go.id bisa lebih melayani masyarakat dan transparan tentang sistem mereka yang sedang dalam perbaikan. Ketika saya bertanya, jawaban dari @prakerja.go.id pun tidak masuk akal. Terima kasih Pak. Salam hormat dari saya.",Positif,11/09/20 13:10:40,,,
barahamahendri,Mantap bapak,Positif,11/09/20 13:53:54,,,
muhammadsatria9894,pak @jokowi  mohon untuk masyarakat yang sulit untuk menjalan kan protokol kesehatan ditindak tegas pak... diberi sanksi atau denda... biar jera pak!!! setiap di jalan ada aja orang yang gak pakai masker,Negatif,11/09/20 16:00:47,,,
morens_printingmdn,Buat masker keren mu bersama kami!!,Positif,11/09/20 17:08:09,,,
miswantoronugroho,"Maaf pak Presidan gara gara daring anak2 kami sekarang kecanduan hp, tidak untuk mengerjakan tugas tapi disalah gunakan untuk main tik tok dan game sehingga emosi mereka tidak terkendali, ketika dinasehati sekarang berani melawan orang tua",Negatif,11/09/20 21:28:39,,,
errik_06,"Saya sedih kalo ada hujatan tentang pak jokowi, orang baik kayak gini masi aja di hujat, sehat terus ya pak jokowi wakil rakyat terbaik versi saya sampai saat ini..",Positif,12/09/20 00:02:21,,,
errik_06,Kalo soal ke sekolah mungkin menkes dan pak jokowi udah memperhitungkan baik buruknya di masa pandemi.. kita nurut aja taruhannya nyawa.. nanti kalo ada apa2 sama anak2 nyalah2in lagi pemerintah..,Negatif,12/09/20 00:06:54,,,
rasyidim324,Semoga sehat selalu  dan maju terus sampai selesai,Positif,12/09/20 05:27:20,,,
rusdi_hsnh,"Pak @jokowi bantu saya agar terbebas dari jeratan hutang pinjol,dengan adanya wabah virus ini saya tidak dapat membayarnya alhasil semakin membengkak,dan depkolektorpun datang kerumah,tolong bantu saya pak @jokowi agar hidup saya bisa tenang kembali,dan saya sangat menyesal telah terjerumus kedalam pinjol. Tolong saya pak. Ataupun mungkin disini ada yg mau membantu saya keluar dari masalah ini",Negatif,12/09/20 10:15:44,,,
anameikristanti,Beri bansos honorer terutama guru gaji di bawah 2 jt,Negatif,12/09/20 13:29:24,,,
atimhandsome6,lanjut pak jokowi kerja bagus seluruh masyarakat indonesia tau pak jokowi bagus saya dukung pilpres nanti bapak lanjut y massa saya satu indonesia akan dukung bapak jokowi dari sekarang hingga Hari H nya tiba,Positif,12/09/20 16:02:15,,,
aidosimatupang2020,Ok pak,Positif,12/09/20 21:34:44,,,
aldoedwrd13,Semangat bapak presiden RI,Positif,12/09/20 23:29:56,,,
halucardh,Siiap,Positif,12/09/20 23:40:33,,,
sudarno469,Siap Bpk.Presiden ....saya selalu nendukung setiap kebijakan yg pro Rakyat,Positif,13/09/20 03:04:01,,,
_komang_22,"Kapan ya, Vaksin bisa direalisasikan, atau minimal obat untuk covid ini, maaf pertanyaan saya terkesan idiot ,atau lugu.",Negatif,16/09/20 08:50:47,,,
cahyatalaohu,Ni pak presiden harus seumur hidup..benar2 nyata kerja nya..,Positif,17/09/20 03:01:09,,,
feri5303,Pak pak gi mna ini bntuan kok gk merata ..,Negatif,17/09/20 03:20:34,,,
renykhriswenda,Pak jokowi.. Mohon tolong anak saya perlu ruang NICU Dan dokter bedah anak.. Kondisi sudah kritis mau di rujuk ke RS besar susah sekali.. Apa Karna kita pakai BPJS Jd tidak di cepat di tanggap Mohon perhatian Sama penyakit Yg lain nya juga jgn covid  Saja,Negatif,17/09/20 04:08:47,,,
amad_ruli,pak klou bisa saran sy .lawan corona jngn ank2 skolh d brhntikn .perekonomian mkin memburuk .korona itu kya kbohonhan hnya permainan saja supaya ngra kta ngara indonesia jatuh miskin dan  bnyak kbodohan .ini hnya sbuah politik yg akn mrugikan bngsa kita .klou bsa sy mau brjln normal hdapi smua krna korona itu hoak bohong .,Negatif,17/09/20 04:19:36,,,
amad_ruli,sy tdk suka indonesia d bodohin sama ngara2 yg lain ini permainan supaya kta bnyak org2 bodoh dan klparan krna bnyak aturan trutama msalh ekonomi,Negatif,17/09/20 04:21:18,,,
africoliando,Pom bensin di tutup aja pak selama 14 hari,Negatif,17/09/20 05:01:43,,,
christian.simanjuntak.18,Terima kasih pak. Sampai bpk terus turun ke RS di jkt dan daerah lainnya.,Positif,17/09/20 06:24:13,,,
oka_rusmawan,capek deh,Negatif,17/09/20 06:54:30,,,
sherlychristina2020,Siiiap...siaaap bpk presidentku.,Positif,17/09/20 07:51:59,,,
yovin_fernandez,Semangat bapak dan jaga kesehatan mu,Positif,17/09/20 09:10:37,,,
vinora.vie,Jaga kondisi ya Pak,Positif,17/09/20 11:19:34,,,
daheri6,Tetap fokus dan positif thinking saja pak. Semua tdk bisa instan harus berproses. Semigha selalu memperoleh ilham ilham yg positif.,Positif,17/09/20 12:05:16,,,
mokooku,covid terus yang diurusin,Negatif,17/09/20 12:35:03,,,
aldriant2,"Gua bosen anjay,cepat lah kluarin vaksin nya woyy",Negatif,17/09/20 12:43:22,,,
aldriant2,"Gua bosen di rmh g dapet duit jajan,pusing banyak tugas,kesana kesni make masker.engapp borr",Negatif,17/09/20 12:43:55,,,
aldriant2,"Jadi tolong lah pemerintah di percepat saja pengeluaran vaksin nya,A N J A Y",Negatif,17/09/20 12:44:32,,,
hendi_bulladig7829,"Bung anda bersama siapa dengan vega darwati atawa najwa sihabv,,,.... Silahkan mohon bukti kepada tuhan yang esa pasti afa tayangan di tv... Jelas wajah anda di istana bogor di papiliun",Negatif,17/09/20 12:58:28,,,
muhamadfauzi8871,Aamiin..,Positif,17/09/20 14:01:57,,,
radit_wp21,Pak saya sebagai warga negara ingin memberikan masukan untuk bisa menekan covid di Indonesia adalah dengan cara melakukan tes terhadap seluruh warga Indonesia dan yg sudah terinfeksi atau yg memiliki tanda otg harap segera di isolasi bagaimana kalo menggunakan satu pulau di Indonesia untuk warga yg terkena covid apa bila di nyatakan sembuh baru boleh pulang agar orang sehat bisa beraktivitas seperti biasa dan apa bila tidak ada yg menggunakan masker boleh di denda sebanyak mungkin tolong keluhan warga anda,Negatif,17/09/20 15:58:15,,,
_andi_akbar," @jokowi apakah bapak menyadari bangsa kita akan hancur karena tatanan hidup baru/New normal(orde baru) Virus Corona hanyalah kospirasi pak,bangun pak bangsa ini membutuhkan Bapak, Jangan mau bangsa tercinta ini hancur karena NEKOLIM ( Neokolonialisme & Imperialisme) dimana hati soekarnois Bapak!",Negatif,17/09/20 17:14:35,,,
didi_pohhhhh,makin seneng aja OKNUM!! Wkwkwk,Negatif,17/09/20 17:49:13,,,
wahyoesatria1,"Mundur aja Pak, kami lelah!",Negatif,17/09/20 19:13:21,,,
edott.vladimir,Katanya kalo menteri gak bener mau langsung copot...dibawah sudah gaduh masih di biarkan saja…,Negatif,17/09/20 22:48:09,,,
nabilaashintiaa,Kacauu kacauu. Bapak ngapain aja sih?,Negatif,17/09/20 23:57:39,,,
aamromiyati,bpa presiden semoga sehat selalu aminn yrb,Positif,18/09/20 01:44:04,,,
alvaroshopper_,"Tolong pak kelarin pademi ini, kita mau hidup normal lagi pak",Negatif,18/09/20 03:27:01,,,
azizahsnr__,Pembangunan rel kereta nya di stop dulu. Uangnya pakai utk bantu rakyat yg kena PHK dan utk mereka yg punya usaha kecil di beri bantuan dlm bentuk modal. Mereka yg hrs bayar pajak di undur pembayarannya setelah covid'19 membaik. Intinya tolong solusi yang dapat membantu rakyat terkait krisis ekonomi. Karena dgn perintah utk mematuhi protokol kesehatan saja tdk cukup Rakyat tidak berniat utk tidak patuh dlm pakai masker dll. Apa daya mereka yg berprofesi sbg pedagang keliling jika mereka diam dirumah ya mereka tidak makan. Sedangkan untuk tetap hidup dan menjaga kesehatan mereka butuh uang dan harus makan. Utk pelanggaran yg tdk pakai masker di denda sejumlah uang menurutku kurang tepat.,Negatif,18/09/20 04:06:10,,,
cellica__,Pak kok di batam kalau kita lewat awalbros yg ga kena covid juga di paksa pergi ke galang sama kepri mall sana,Negatif,18/09/20 05:14:14,,,
davidkaminzulkarnain,Semangat pak Jokowi,Positif,18/09/20 05:17:08,,,
davidkaminzulkarnain,"Jangan lupa kirim bantuan dampak corona ,orang orang di rumah takut mati kelaparan ya pak Jokowi mohon bantu orang orang yang membutuhkan bantuannya dari pak Jokowi",Negatif,18/09/20 05:19:15,,,
davidkaminzulkarnain,Salam all semangat terus ALLAH MEMBERKAT KALIAN,Positif,18/09/20 05:20:04,,,
imansanusi1111,Mohon pa ini Pembebasan lahan tol japek 2 Selatan untuk kota Bekasi kenapa dibuat lama sama BPN kota Bekasi mohon di croscek ada apa.......kita susah dengan adanya pandemi anggaran blanja negara sudah siap tapi kenapa dibuat lambat,Negatif,18/09/20 05:59:02,,,
aris_official96,"Jika PSBB ingin berhasih ha usah tutup mall, restoran atau tutup jalan, cukup tutup pom bensin saja sebulan pak",Negatif,18/09/20 11:12:21,,,
rrallywheelsreal,Terima kasih pak Jokowi dan seluruh jajarannya atas kerja keras untuk penganan COVID 19. Tuhan memberkati,Positif,18/09/20 11:37:24,,,
meiza_tivani07,Mana bantuan covid saya pak....... Tidak ada satupun bantuan yg saya dapat. Mohon bantu rakyat mu yg membutuhkan pemimpinnya....,Negatif,18/09/20 14:08:25,,,
ctea_862,yang sehat dibikin sakit yg sakit dibikin stres....itulah indonesiaku,Negatif,18/09/20 14:42:44,,,
ramadan_wahyudi,Yang disini bilang masih ada...yang disono bilang udah penuh...Trus aja begitu sampe Eddy Tansil pulang,Negatif,18/09/20 15:13:11,,,
aderahmat072,"sya pribadi percaya covid itu ada.. cuma ga sebanyak dan berbahaya.. seperti salah dianoksa.. tpi ga ada data salah di aknosa.. atau ada kepentigan* dana.. yg membuat covid  seolah* lama berbahaya dan banyak.. muga presiden bisa menindak lanjuti hal* seperti itu.. "" ketika dana bantun 500rb mau cair tiba* zona kuning hijau atau biru betubah jadi merah.. dgn cepat.. pr nya yg berat dana* bantun yg mengalir harus di telurusi.. kaya sembako.. dari satu jenis misalya beras.. dari kualitas aja bisa dpt untung.. bila maen di sana, blm telurnya, buahnya, dagingnya, walau jujur.. beli banyak pasti harganya lebih murah di banding satu an belinya.. rawan blm pra kerja.. yg bisa di bawah aja satu orang biasa, bisa pengang bikin daftar 5-7 pra kerja.. blm .. dng minta data ktp ma beli no. hp baru.. blm di atasnya lahan basah.. kalau ga kuat iman ma jujur siapa ja  bisa tergoda",Negatif,18/09/20 15:18:31,,,
bang.ijan.737,"Assalamualaikum wr wb, dgn penuh hormat saya dgn orang no satu di Indonesia Bpk presiden, di  masa pandemi covid 19, ku tidak berpenghasilan dan tidak pernah mendapat bantuan kemanusiaan covid19, mohon pengertian langsung dari Bpk presiden....",Negatif,18/09/20 15:18:54,,,
raysa_meymey,Makasih banyak saya lulus seleksi abdi negara karna naik tinggibadanku!!?? sukses teruss yah @hypergrow.storei makasih banyakk semangat jualan nya yahh,Positif,19/09/20 03:39:46,,,
tunas_buwono,"Mantap pak selalu berharap banyak masyarakat yg kena ya makannya ditambah terus, bukannya mempercepat vaksin...keren jd model dah pak",Positif,19/09/20 03:40:44,,,
ciptawaty,Ga akan cukup pak sehari sudah 4000 kasus..emang segede apa sih fasilitasnya,Negatif,19/09/20 12:43:27,,,
jeffry0210,knpa isi ulang tabung gas 3kilo susah d kota makassar ia pak @jokowi ?,Negatif,20/09/20 00:47:15,,,
saridian057,Sudah terbatas ia kan gimana yg ngga darurat banget mah di rawat di isolasi karang tina nya di rumah aja selama di isolasi di karang tina di cek terus di kontrol setiap rumah ya untuk memperingan ruangan di rumah sakit kan udah penuh banget duh ya  jadi yg baru gejala ringan cukup di periksa di rumah sakit kejala nya aja di isolasi karang tina nya ya di rumah aja tapi rumah nya di steril kan gitu di kasih batas suruh orah lagar dan berjemur gitu pak oke,Negatif,20/09/20 05:53:45,,,
ir.agussuti,Saya sebagai rakyat sangat2 kecewa yg telah memperjuangkan bapak jokowi utk duduk disinggasana kepresidenan omdong mana buktinya waktu kampanye masa yg jauh didatangin yg dekat nich cuma cari sensasi saja oh ya mengenai kolom komentar diinstagram ga usah dipasang kalo ga dibaca dan ditanggapin tsk menghargai pendapat dan usulan rakyatnya sampai skrg saya blum ditanggapin Ir.agus sutowo.m perumahan taman wisma asri 2 blok AA.13/13 telp 02188874342 085813464583 bekasi utarq kutunggu jawabannyq,Negatif,20/09/20 07:32:44,,,
ri403na,aku suka kamu,Positif,20/09/20 07:47:27,,,
purantycitaputri,2000 bed..tp tenaga medisnya ada?,Negatif,20/09/20 13:58:24,,,
orinochan,"Tolong semua RSUD dipersiapkan juga pak karena penurunan wabah masih jauh banget,,, apd kami pak tolong dimaksimalkan juga kalau pun kami harus gugur, kami mohon biar kan kami berikhtiar sekuat tenaga buat pasien2 kami pak ... ruang operasi buat pasien covid ,, icu dan kamar2 NICU buat bayi2 dari ibu yg covid",Negatif,20/09/20 16:18:44,,,
saptian.angga123,mantap pak presiden...,Positif,21/09/20 03:08:12,,,
tokonem_store,Dekat sekali dengan rumah aku,Positif,21/09/20 05:42:08,,,
purple_tulipss_,Semangat pak,Positif,21/09/20 12:01:10,,,
andriani2718,Bpk presiden q @jokowi bukan covid lg yg membuat mati pak tp klaparan 85% di lombok pengangguran skrg pak kpn normal a dunia ini,Negatif,22/09/20 14:11:48,,,
eliyawidiyawati,Saya sgt bangga dgn Bpk...sy percaya Bpk bisa...Smg Bapak slalu dlm lindungan Allah swt,Positif,22/09/20 16:02:21,,,
edott.vladimir, @jokowi enak jaman alm presiden Soeharto. Rakyat g kelaparan...kalo anda udah susah yang dipasang di struktur pemerintahan orang mumet semua..,Negatif,23/09/20 00:13:03,,,
rezaheadrock,joko ketololan nget',Negatif,25/09/20 12:38:20,,,
iwanrizukimu,Batalkan pilkada,Negatif,25/09/20 14:59:20,,,
zainuddin8729,Luar biasa,Positif,29/09/20 11:35:58,,,
ambu_dr.henygustini,"Pa Jokowi,tingkatkan terus pembrrdayaan.ada yang ambu bingungkan,corona meningkat tapi pemasaran apd di tingkat lokal malah macet?anak saya aja punya konfeksi kecil,apdnya 2000 pic tidak terjual.bagi madyarakat kecil itu sangat berarti",Negatif,29/09/20 11:46:53,,,
tanupermana,"Begitupun dengan sektor olahraga khusus nya sepak bola harus nya jln terus ini demi realisasi satu satunya hiburan rakyat dan prestasi, bukanya sepak bola harus di stop.. Di negara lain juga sepak bola jln terus",Negatif,29/09/20 12:08:58,,,
sh.lolita,Salam Sehat Pak PresidenKu.. Dan tetap semangat ya pak,Positif,29/09/20 12:30:40,,,
daditsoedikto,Semoga pandemi c19 segera usai dan bangsa Indonesia dpt kembali menuju masy adil dan makmur,Positif,29/09/20 13:09:18,,,
dewianggraeni8203,Sabar ya bpk ku' Do.a ku Akan Selalu menyertai bpk/ keluarga.,Positif,29/09/20 13:23:05,,,
spinocan_no26,salah satu dokter kebanggaan @rsbhinabhaktihusada Rembang adem ayem tentrem,Positif,29/09/20 13:31:57,,,
zhcn_,Jaya Indonesia,Positif,29/09/20 13:37:05,,,
bycolby,"Sudah 7 bulan, kenapa terawan masih dipertahankan? Kapan terawan dipecat?",Negatif,29/09/20 14:01:35,,,
mn.fauzy,"Yth. Bpk Presiden, mohon Putuskan utk lockdown 14 hari pulau jawa, beri subsidi makanan bagi yg tidak mampu, turunkan aparat TNI Polri dan pemda utk menjaga tiap ruas jalan, supaya penyebaran virus dapat terkendali. Kerugian akibat psbb sudah sangat parah.",Negatif,29/09/20 14:18:41,,,
arissinatra87,Sesak nafas batuk pilek dingin panas. Dari dulu penyakit itu memang ada tapi skarang penyakit itu malah di anggap Covid19.,Negatif,29/09/20 14:44:01,,,
bettybetty2764,TAIWAN AMAN KARENA DISPLIN SEMOGA INDONESIA JUGA BISA,Positif,29/09/20 14:58:11,,,
andiniwidiyabucinnyabts,SEMOGA LEKAS SEMBUH NEGRIKU (INDONESIA),Positif,29/09/20 15:00:54,,,
linda_pph,Mudah2an dengan izin  Allah rakyat Indonesia terbebaskan dari covid. Aminnnnn,Positif,29/09/20 15:29:07,,,
___armaya,Sehat selalu Bapak Jokowi,Positif,29/09/20 15:43:32,,,
kaling.oz,Hadir,Positif,29/09/20 15:56:45,,,
cipat_12,Kalimantan Jadi ibukota bener atau tidak ya?,Positif,29/09/20 16:01:59,,,
sianak_hutan142,Musuh yang sebenarnya emang tidak ada,Negatif,29/09/20 19:40:30,,,
